"SS400_3",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"5.22","1714.953","0.2593542","0.1100845"
"5.23","1718.505","0.2598646","0.1103592"
"5.24","1722.352","0.2603542","0.1106033"
"5.25","1726.492","0.2608542","0.1106033"
"5.26","1729.592","0.2613542","0.1107368"
"5.27","1732.731","0.2618437","0.1107826"
"5.28","1736.879","0.2623437","0.1107826"
"5.29","1740.615","0.2628438","0.110817"
"5.3","1743.921","0.2633438","0.110817"
"5.31","1747.648","0.2638437","0.1109276"
"5.32","1751.28","0.2643437","0.1111488"
"5.33","1754.697","0.2648333","0.1111488"
"5.34","1757.956","0.2653333","0.1114349"
"5.35","1761.643","0.2658333","0.1114349"
"5.36","1765.1","0.2663333","0.1116791"
"5.37","1769.01","0.2668333","0.111866"
"5.38","1772.753","0.2673438","0.111866"
"5.39","1776.226","0.2678438","0.1120682"
"5.4","1779.676","0.2683437","0.1123199"
"5.41","1783.443","0.2688437","0.1123199"
"5.42","1786.971","0.2693437","0.1126175"
"5.43","1790.547","0.2698542","0.1126175"
"5.44","1793.758","0.2703438","0.1128693"
"5.45","1797.525","0.2708437","0.1130219"
"5.46","1801.268","0.2713437","0.1130219"
"5.47","1804.773","0.2718333","0.113102"
"5.48","1808.222","0.2723229","0.1131897"
"5.49","1811.584","0.2728229","0.1131897"
"5.5","1815.367","0.2733229","0.1131897"
"5.51","1818.967","0.2738229","0.1133461"
"5.52","1822.424","0.2743229","0.1135368"
"5.53","1825.365","0.2748229","0.1137466"
"5.54","1829.068","0.2753229","0.1137466"
"5.55","1832.668","0.2758229","0.1139603"
"5.56","1836.197","0.2763229","0.1141281"
"5.57","1839.463","0.2768229","0.1141281"
"5.58","1843.158","0.2773229","0.1141891"
"5.59","1846.536","0.2778333","0.1141891"
"5.6","1850.271","0.2783333","0.1141281"
"5.61","1853.959","0.2788438","0.1139984"
"5.62","1857.305","0.2793438","0.1139984"
"5.63","1860.881","0.2798542","0.1138611"
"5.64","1864.441","0.2803542","0.1137581"
"5.65","1868.177","0.2808542","0.1137581"
"5.66","1871.975","0.2813542","0.1137581"
"5.67","1875.544","0.2818542","0.1137009"
"5.68","1879.223","0.2823542","0.1136856"
"5.69","1882.49","0.2828437","0.1137543"
"5.7","1885.541","0.2833437","0.1137543"
"5.71","1888.879","0.2838438","0.1139107"
"5.72","1892.336","0.2843437","0.1139107"
"5.73","1896.008","0.2848437","0.1141205"
"5.74","1899.592","0.2853437","0.1141205"
"5.75","1903.335","0.2858438","0.1143188"
"5.76","1906.888","0.2863438","0.1144905"
"5.77","1910.432","0.2868437","0.1146317"
"5.78","1913.556","0.2873437","0.1146317"
"5.79","1916.949","0.2878437","0.1147804"
"5.8","1920.494","0.2883542","0.1147804"
"5.81","1923.72","0.2888542","0.1149406"
"5.82","1927.59","0.2893542","0.1151047"
"5.83","1930.936","0.2898542","0.1151047"
"5.84","1933.988","0.2903542","0.1152802"
"5.85","1937.493","0.2908542","0.1154137"
"5.86","1941.18","0.2913541","0.1154137"
"5.87","1944.86","0.2918437","0.1154404"
"5.88","1948.619","0.2923437","0.1154404"
"5.89","1951.877","0.2928333","0.1153374"
"5.9","1954.691","0.2933229","0.1153374"
"5.91","1958.179","0.2938229","0.1151543"
"5.92","1961.637","0.2943125","0.1149445"
"5.93","1964.966","0.2948125","0.114727"
"5.94","1968.217","0.2953125","0.114727"
"5.95","1971.785","0.2958125","0.1144753"
"5.96","1975.536","0.2963125","0.1144753"
"5.97","1978.818","0.2968125","0.1141777"
